日期,品項,數量,金額
2025/04/07,紅燒牛肉麵(單點),19,3060
2025/04/07,紅燒牛筋牛肉麵(單點),3,660
2025/04/07,紅燒牛肚牛肉麵(單點),1,220
2025/04/07,川辣牛肉麵(單點),6,960
2025/04/07,川辣牛筋牛肉麵(單點),3,660
2025/04/07,川辣牛肚牛肉麵(單點),1,220
2025/04/07,蕃茄牛肉麵(單點),8,1280
2025/04/07,蕃茄牛筋牛肉麵(單點),1,220
2025/04/07,牛肉麵類共計,42,7280

2025/04/07,沙茶牛肉乾拌麵(單點),5,770
2025/04/07,蒜泥白肉乾麵(單點),5,650
2025/04/07,肉燥乾麵(單點),2,140
2025/04/07,拌麵類共計,12,1560

2025/04/07,豬耳朵,1,45
2025/04/07,手作類共計,1,45

2025/04/07,涼拌小黃瓜,2,70
2025/04/07,涼拌乾絲,1,35
2025/04/07,皮蛋豆腐,1,45
2025/04/07,海帶絲,1,35
2025/04/07,燙青菜,4,180
2025/04/07,小碟類共計,9,365

2025/04/07,可口可樂,3,60
2025/04/07,綠茶,1,20
2025/04/07,飲料類共計,4,80

2025/04/07,加麵,2,40
2025/04/07,學生加麵,5,0
2025/04/07,加點類共計,7,40

2025/04/07,總計,68,9330